Timestamp,Pressure,Phase,Part_ID,Leak_Rate,Target_Pressure,Fill_Rate,Stab_Duration,Test_Duration,Leak_Type
0.0,0.0,prefill,Part1,0.1,10,1,5,30,sealed
0.1,0.042631578947368416,prefill,Part1,0.1,10,1,5,30,sealed
0.2,0.08526315789473683,prefill,Part1,0.1,10,1,5,30,sealed
0.3,0.12789473684210526,prefill,Part1,0.1,10,1,5,30,sealed
0.4,0.17052631578947366,prefill,Part1,0.1,10,1,5,30,sealed
0.5,0.2131578947368421,prefill,Part1,0.1,10,1,5,30,sealed
0.6,0.2557894736842105,prefill,Part1,0.1,10,1,5,30,sealed
0.7,0.2984210526315789,prefill,Part1,0.1,10,1,5,30,sealed
0.8,0.34105263157894733,prefill,Part1,0.1,10,1,5,30,sealed
0.9,0.38368421052631574,prefill,Part1,0.1,10,1,5,30,sealed
1.0,0.4263157894736842,prefill,Part1,0.1,10,1,5,30,sealed
1.1,0.46894736842105267,prefill,Part1,0.1,10,1,5,30,sealed
1.2,0.511578947368421,prefill,Part1,0.1,10,1,5,30,sealed
1.3,0.5542105263157894,prefill,Part1,0.1,10,1,5,30,sealed
1.4,0.5968421052631578,prefill,Part1,0.1,10,1,5,30,sealed
1.5,0.6394736842105263,prefill,Part1,0.1,10,1,5,30,sealed
1.6,0.6821052631578947,prefill,Part1,0.1,10,1,5,30,sealed
1.7,0.724736842105263,prefill,Part1,0.1,10,1,5,30,sealed
1.8,0.7673684210526315,prefill,Part1,0.1,10,1,5,30,sealed
1.9,0.81,prefill,Part1,0.1,10,1,5,30,sealed
2.0,1.0,fill,Part1,0.1,10,1,5,30,sealed
2.1,1.0809090909090908,fill,Part1,0.1,10,1,5,30,sealed
2.2,1.1618181818181819,fill,Part1,0.1,10,1,5,30,sealed
2.3,1.2427272727272727,fill,Part1,0.1,10,1,5,30,sealed
2.4,1.3236363636363637,fill,Part1,0.1,10,1,5,30,sealed
2.5,1.4045454545454545,fill,Part1,0.1,10,1,5,30,sealed
2.6,1.4854545454545454,fill,Part1,0.1,10,1,5,30,sealed
2.7,1.5663636363636362,fill,Part1,0.1,10,1,5,30,sealed
2.8,1.6472727272727272,fill,Part1,0.1,10,1,5,30,sealed
2.9,1.7281818181818183,fill,Part1,0.1,10,1,5,30,sealed
3.0,1.809090909090909,fill,Part1,0.1,10,1,5,30,sealed
3.1,1.89,fill,Part1,0.1,10,1,5,30,sealed
3.2,1.9709090909090907,fill,Part1,0.1,10,1,5,30,sealed
3.3,2.0518181818181818,fill,Part1,0.1,10,1,5,30,sealed
3.4,2.1327272727272724,fill,Part1,0.1,10,1,5,30,sealed
3.5,2.213636363636364,fill,Part1,0.1,10,1,5,30,sealed
3.6,2.2945454545454544,fill,Part1,0.1,10,1,5,30,sealed
3.7,2.3754545454545455,fill,Part1,0.1,10,1,5,30,sealed
3.8,2.4563636363636365,fill,Part1,0.1,10,1,5,30,sealed
3.9,2.5372727272727276,fill,Part1,0.1,10,1,5,30,sealed
4.0,2.618181818181818,fill,Part1,0.1,10,1,5,30,sealed
4.1,2.699090909090909,fill,Part1,0.1,10,1,5,30,sealed
4.2,2.78,fill,Part1,0.1,10,1,5,30,sealed
4.3,2.860909090909091,fill,Part1,0.1,10,1,5,30,sealed
4.4,2.9418181818181814,fill,Part1,0.1,10,1,5,30,sealed
4.5,3.022727272727273,fill,Part1,0.1,10,1,5,30,sealed
4.6,3.1036363636363635,fill,Part1,0.1,10,1,5,30,sealed
4.7,3.1845454545454546,fill,Part1,0.1,10,1,5,30,sealed
4.8,3.2654545454545456,fill,Part1,0.1,10,1,5,30,sealed
4.9,3.346363636363636,fill,Part1,0.1,10,1,5,30,sealed
5.0,3.4272727272727277,fill,Part1,0.1,10,1,5,30,sealed
5.1,3.5081818181818183,fill,Part1,0.1,10,1,5,30,sealed
5.2,3.5890909090909093,fill,Part1,0.1,10,1,5,30,sealed
5.3,3.67,fill,Part1,0.1,10,1,5,30,sealed
5.4,3.750909090909091,fill,Part1,0.1,10,1,5,30,sealed
5.5,3.8318181818181816,fill,Part1,0.1,10,1,5,30,sealed
5.6,3.9127272727272735,fill,Part1,0.1,10,1,5,30,sealed
5.7,3.993636363636363,fill,Part1,0.1,10,1,5,30,sealed
5.8,4.074545454545455,fill,Part1,0.1,10,1,5,30,sealed
5.9,4.155454545454545,fill,Part1,0.1,10,1,5,30,sealed
6.0,4.236363636363636,fill,Part1,0.1,10,1,5,30,sealed
6.1,4.317272727272727,fill,Part1,0.1,10,1,5,30,sealed
6.2,4.398181818181818,fill,Part1,0.1,10,1,5,30,sealed
6.3,4.4790909090909095,fill,Part1,0.1,10,1,5,30,sealed
6.4,4.56,fill,Part1,0.1,10,1,5,30,sealed
6.5,4.640909090909091,fill,Part1,0.1,10,1,5,30,sealed
6.6,4.721818181818182,fill,Part1,0.1,10,1,5,30,sealed
6.7,4.802727272727273,fill,Part1,0.1,10,1,5,30,sealed
6.8,4.883636363636363,fill,Part1,0.1,10,1,5,30,sealed
6.9,4.964545454545455,fill,Part1,0.1,10,1,5,30,sealed
7.0,5.045454545454546,fill,Part1,0.1,10,1,5,30,sealed
7.1,5.126363636363637,fill,Part1,0.1,10,1,5,30,sealed
7.2,5.207272727272727,fill,Part1,0.1,10,1,5,30,sealed
7.3,5.288181818181818,fill,Part1,0.1,10,1,5,30,sealed
7.4,5.369090909090909,fill,Part1,0.1,10,1,5,30,sealed
7.5,5.45,fill,Part1,0.1,10,1,5,30,sealed
7.6,5.530909090909091,fill,Part1,0.1,10,1,5,30,sealed
7.7,5.611818181818181,fill,Part1,0.1,10,1,5,30,sealed
7.8,5.692727272727272,fill,Part1,0.1,10,1,5,30,sealed
7.9,5.773636363636364,fill,Part1,0.1,10,1,5,30,sealed
8.0,5.854545454545455,fill,Part1,0.1,10,1,5,30,sealed
8.1,5.9354545454545455,fill,Part1,0.1,10,1,5,30,sealed
8.2,6.016363636363637,fill,Part1,0.1,10,1,5,30,sealed
8.3,6.097272727272728,fill,Part1,0.1,10,1,5,30,sealed
